Table 1
שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,204000571000,,699,,2024,Abu Juway'ad,ללא שיוך לאשכול,,,4
אבו גוש,472,ABU GHOSH,1,ירושלים,11,ירושלים,111,99,מועצה מקומית,444,2,"8,847","8,432",51,"8,381",415,,280,,210524634814,686,152,10002475,2024,Abu Ghosh,ללא שיוך לאשכול,472,אבו גוש,2
אבו סנאן,473,ABU SINAN,2,הצפון,24,עכו,245,99,מועצה מקומית,,2,"14,543","14,516",18,"14,498",27,,270,,216160762851,69,252,15002143,2024,Abu Sinan,אשכול רשויות גליל מערבי,473,אבו סנאן,2
אבו סריחאן (שבט),935,ABU SUREIHAN,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,186500574500,,699,,2024,Abu Surayhan,ללא שיוך לאשכול,,,4
אבו עבדון (שבט),958,ABU ABDUN,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,185000579000,,699,,2024,Abu 'Abdun,ללא שיוך לאשכול,,,4
אבו עמאר (שבט),1042,ABU AMMAR,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,195000567000,,699,,2024,Abu 'Ammar,ללא שיוך לאשכול,,,4
אבו עמרה (שבט),932,ABU AMRE,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,185000571000,,699,,2024,Abu 'Amra,ללא שיוך לאשכול,,,4
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,הדרום,62,באר שבע,623,68,מועצה אזורית נווה מדבר,,2,"2,827","2,826",2,"2,824",1,,290,,196365561051,449,624,15003711,2024,Abu Qureinat,אשכול רשויות נגב מזרחי,5568,נווה מדבר,3
אבו קורינאת (שבט),968,ABU QUREINAT,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,197000560000,,699,,2024,Abu Kuraynat,ללא שיוך לאשכול,,,4
אבו רובייעה (שבט),966,ABU RUBEI'A,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,205000572000,,699,,2024,Abu Rubay'a,ללא שיוך לאשכול,,,4
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,192000566000,,699,,2024,Abu Rukayyek,ללא שיוך לאשכול,,,4
אבו תלול,1375,ABU TULUL,6,הדרום,62,באר שבע,623,68,מועצה אזורית נווה מדבר,,2,"5,716","5,716",,"5,716",,,280,,193326565890,388,624,15003711,2024,Abu Tulul,אשכול רשויות נגב מזרחי,5568,נווה מדבר,3
אבטין,652,IBTIN,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,2,"2,837","2,833",1,"2,832",4,,290,,210930740772,48,301,10004207,2024,Ibtin,אשכול רשויות המפרץ,5512,זבולון,3
אבטליון,1275,AVTALYON,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,,1,466,466,466,,,1987,370,10,233248749083,364,205,10004513,2024,Avtalyon,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
אביאל,679,AVI'EL,3,חיפה,32,חדרה,324,45,מועצה אזורית אלונה,,1,779,729,729,,50,1949,310,9,199615715338,52,351,10004333,2024,Avi'el,אשכול רשויות מישור החוף,5545,אלונה,3
אביבים,1115,AVIVIM,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,555,506,506,,49,1960,310,1,244417777076,725,209,10004528,2024,Avivim,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
אביגדור,819,AVIGEDOR,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,947,826,826,,121,1950,310,1,175735624280,64,616,10001821,2024,Avigedor,אשכול רשויות שורק דרומי,5533,באר טוביה,3
אביגיל,3869,AVIGAYIL,7,אזור יהודה ושומרון,77,חברון,,78,מועצה אזורית הר חברון,,,,,,,,,510,,213421590105,826,715,15003512,2024,Avigayil,אשכול יהודה ושומרון,5578,הר חברון,3
אביחיל,175,AVIHAYIL,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,"1,270","1,254","1,253",1,16,1932,310,1,188086695272,37,409,10002089,2024,Avihayil,ללא שיוך לאשכול,5516,עמק חפר,3
אביטל,2052,AVITAL,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,637,578,578,,59,1953,310,1,229099718146,73,204,10004394,2024,Avital,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
אביעזר,1070,AVI'EZER,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,921,921,920,1,,1958,310,2,201663621049,376,151,15000597,2024,Avi'ezer,ללא שיוך לאשכול,5526,מטה יהודה,3
אבירים,1220,ABBIRIM,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,304,303,298,5,1,1980,370,19,227156771492,561,255,10004484,2024,Abbirim,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
אבן יהודה,182,EVEN YEHUDA,4,המרכז,41,השרון,411,99,מועצה מקומית,141,1,"15,370","15,097","15,093",4,273,1932,170,,189434686421,36,457,15000060,2024,Even Yehuda,ללא שיוך לאשכול,182,אבן יהודה,2
אבן מנחם,1081,EVEN MENAHEM,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,448,413,413,,35,1960,310,1,227812775451,605,255,10004302,2024,Even Menahem,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
אבן ספיר,783,EVEN SAPPIR,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,719,713,713,,6,1950,310,1,212841630021,608,151,10002521,2024,Even Sappir,ללא שיוך לאשכול,5526,מטה יהודה,3
אבן שמואל,400,EVEN SHEMU'EL,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,,1,"2,007","1,994","1,993",1,13,1956,190,,177783609265,157,631,10001813,2024,Even Shemu'el,ללא שיוך לאשכול,5534,שפיר,3
אבני איתן,4011,AVNE ETAN,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,"1,079",983,983,,96,1978,310,2,271966747749,381,224,10004579,2024,Avne Etan,אשכול רשויות גליל מזרחי,5571,גולן,3
אבני חפץ,3793,AVNE HEFEZ,7,אזור יהודה ושומרון,73,טול כרם,,72,מועצה אזורית שומרון,,1,"2,526","2,524","2,524",,2,1990,190,11,207071687954,204,710,15004488,2024,Avne Hefez,אשכול יהודה ושומרון,5572,שומרון,3
אבנת,3786,AVENAT,7,אזור יהודה ושומרון,75,ירדן-יריחו,,74,מועצה אזורית מגילות ים המלח,,1,292,292,292,,,1983,370,,241473620687,-352,713,10003314,2024,Avenat,אשכול יהודה ושומרון,5574,מגילות ים המלח,3
אבשלום,1311,AVSHALOM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,422,411,411,,11,1990,370,10,136212567439,92,651,10001893,2024,Avshalom,אשכול רשויות נגב מערבי,5538,אשכול,3
אדורה,3759,ADORA,7,אזור יהודה ושומרון,77,חברון,,78,מועצה אזורית הר חברון,,1,575,569,569,,6,1984,370,9,201758606677,639,715,15003512,2024,Adora,אשכול יהודה ושומרון,5578,הר חברון,3
אדירים,113,ADDIRIM,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,427,322,322,,105,1956,310,1,225799717202,71,204,10004394,2024,Addirim,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
אדמית,1068,ADAMIT,2,הצפון,24,עכו,244,4,מועצה אזורית מטה אשר,,1,368,360,360,,8,1958,330,15,219840776009,449,201,10004302,2024,Adamit,אשכול רשויות גליל מערבי,5504,מטה אשר,3
אדרת,1123,ADDERET,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,"1,094","1,087","1,087",,7,1961,310,1,199582618685,430,151,15000597,2024,Adderet,ללא שיוך לאשכול,5526,מטה יהודה,3
אודים,446,UDIM,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,"1,167","1,053","1,053",,114,1948,310,10,185811685802,12,401,15000060,2024,Udim,ללא שיוך לאשכול,5519,חוף השרון,3
אודם,4010,ODEM,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,314,311,311,,3,1976,320,6,270283788804,1050,224,10004579,2024,Odem,אשכול רשויות גליל מזרחי,5571,גולן,3
אוהד,1046,OHAD,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,714,405,377,28,309,1969,310,1,145808571993,131,651,10001893,2024,Ohad,אשכול רשויות נגב מערבי,5538,אשכול,3
אום אל-פחם,2710,UMM AL-FAHM,3,חיפה,32,חדרה,323,0,עירייה,,2,"60,210","60,147",50,"60,097",63,,250,,214505714034,309,354,10004249,2024,Umm al-Fahm,אשכול רשויות מישור החוף,2710,אום אל-פחם,1
